Run	Gage	A	B	C	D	E	F	DIF	Sint	Gint	Aint	RMSE	ABCD	SqMi	Nash	RMSE	Lat	Long
57	1137500	0.9876	967.8	0.310	0.271	0.639	2.11	10.00	500.23	129.26	168.37	27.62	0	88.245002	0.747308942	27.06036286	44.25314	-71.46682
59	1139000	0.9567	545.9	0.029	0.484	0.352	-1.78	5.98	97.83	200.00	117.61	16.77	0	95.109397	0.791996448	17.74022228	44.21833	-72.21703
60	1139800	0.9320	454.4	0.000	0.018	0.189	-2.14	6.82	328.11	79.07	49.17	20.99	0	8.80298	0.79945415	20.18764238	44.09475	-72.36938
61	1141800	0.9869	284.1	0.472	0.338	0.669	-0.07	4.45	131.55	82.56	32.86	23.92	0	4.741509	0.752256592	23.98158645	43.70501	-72.17057
62	1142500	0.9515	507.4	0.000	0.595	0.345	-2.34	6.21	255.52	137.77	1.00	23.48	0	31.724599	0.756352451	23.17937264	44.00449	-72.66386
63	1144000	0.9471	414.4	0.163	0.035	0.842	0.96	9.84	384.64	33.02	68.59	21.64	0	691.213989	0.790136551	21.17227725	43.88719	-72.66232
67	1154000	0.9875	553.3	0.264	0.901	0.568	-1.67	6.61	182.66	200.00	95.05	23.72	0	72.3274	0.819982901	22.22689358	43.15332	-72.6068
69	1162500	0.9673	261.5	0.351	0.975	0.234	-2.03	10.00	152.50	200.00	31.33	19.37	0	19.1914	0.85291209	19.50333734	42.75581	-72.12729
71	1169000	0.9236	265.5	0.000	0.135	0.598	0.62	10.00	259.04	152.98	7.07	27.88	0	89.050697	0.807014493	26.32658328	42.73693	-72.77696
72	1170100	0.9381	360.8	0.000	0.095	0.207	-2.17	10.00	313.75	152.91	47.49	26.19	0	41.309799	0.790375709	24.80335544	42.79599	-72.70463
75	1174565	0.9552	338.4	0.277	0.998	0.520	-3.07	5.10	240.56	19.16	79.39	20.18	0	12.739	0.809357265	20.2457962	42.49774	-72.38596
76	1174600	0.9289	459.9	0.000	0.147	0.242	-2.14	5.64	289.92	104.79	1.00	24.02	0	0.625829	0.701271967	24.13554498	42.36428	-72.39327
77	1174900	0.9214	381.2	0.000	0.024	0.903	-4.13	8.13	92.64	94.30	112.03	24.36	0	2.743789	0.73720291	24.40872338	42.35007	-72.38534
80	1181000	0.9398	312.4	0.000	0.293	0.394	-3.15	5.33	39.59	200.00	91.85	28.78	0	94.013198	0.769592657	29.02498196	42.3049	-73.03261
81	1187300	0.9693	305.2	0.035	1.000	0.327	-2.20	4.32	206.13	167.73	1.00	27.57	0	20.818199	0.812509516	26.54281427	42.07991	-72.97573
83	1188000	0.9788	409.8	0.263	0.885	0.718	-0.50	5.30	231.01	122.65	22.41	21.10	0	4.101739	0.799056929	21.88080034	41.77472	-72.9911
84	1193500	0.9762	469.2	0.000	0.231	0.806	-1.92	6.44	268.93	115.11	123.73	21.24	0	104.732002	0.842196368	22.08221957	41.62599	-72.41191
88	1203805	0.9761	393.7	0.000	0.436	0.936	-3.17	0.91	192.36	118.18	104.49	18.70	0	27.059799	0.848958094	19.26595115	41.61632	-73.24417
89	1208950	0.9189	252.1	0.000	0.009	0.361	0.56	2.54	126.25	138.34	113.29	25.10	0	7.428309	0.825449107	25.10562846	41.18609	-73.30899
92	1333500	0.9985	253.3	0.411	0.556	0.462	-6.70	4.04	181.04	40.43	1.00	27.41	0	54.407901	0.68048231	27.74349777	42.70135	-73.33844
93	1343060	0.6022	280.3	0.000	0.761	0.875	0.31	10.00	1.00	145.57	102.68	41.69	0	235.440002	0.626297193	41.03086928	43.46568	-74.7339
95	1349810	0.9777	848.9	0.001	0.847	0.000	-4.42	6.17	311.39	184.83	180.17	35.80	0	28.4386	0.689318956	34.46803978	42.19692	-74.33753
97	1350080	0.9732	488.0	0.018	0.947	0.160	-3.01	7.01	268.59	133.91	1.36	27.78	0	32.3708	0.695192347	27.6575945	42.39734	-74.33873
98	1350140	0.9792	351.4	0.014	0.195	0.653	-2.68	5.00	348.22	30.21	17.27	25.79	0	16.8957	0.738612053	25.76045522	42.44656	-74.54384
100	1362198	0.9971	910.7	0.030	0.000	0.752	-3.83	5.49	544.48	170.76	166.74	25.55	0	59.512599	0.835554916	25.81509139	42.10207	-74.44208
101	1362200	0.9973	1000.0	0.451	0.939	0.797	-3.78	5.25	855.67	149.68	82.05	38.39	0	65.324401	0.681191738	37.70211513	42.10102	-74.43754
102	136230002	0.8617	406.3	0.000	0.704	0.996	-0.47	6.37	232.64	50.42	76.95	46.82	0	20.534999	0.607218519	44.65520601	42.04331	-74.35716
103	1362370	0.8916	427.4	0.000	0.495	0.618	-2.81	7.13	308.78	109.76	38.97	57.40	0	30.983999	0.602152296	51.61582208	42.12983	-74.25258
104	1362497	0.9308	282.8	0.000	0.946	0.851	-2.65	10.00	89.17	114.68	103.95	41.08	0	16.6636	0.663746259	39.88382501	42.02694	-74.20502
105	1363382	0.8033	267.8	0.000	0.031	0.001	-2.38	6.90	106.58	153.35	143.77	46.05	0	17.0993	0.668691742	41.66055338	41.95753	-74.32395
106	1364959	0.4452	383.8	0.000	0.835	0.000	-2.38	4.55	88.60	18.93	70.80	38.63	0	5.420509	0.675224048	39.17915295	41.95516	-74.36809
107	1365000	0.9191	414.7	0.000	0.416	0.353	-3.58	6.21	354.79	1.00	7.27	38.12	0	38.443599	0.698814449	36.23297318	41.91598	-74.42416
109	1409810	0.9245	289.9	0.507	0.529	0.613	-0.75	6.74	1.00	90.66	105.10	10.68	0	84.426696	0.807320053	11.22702329	39.78091	-74.53436
110	1411300	0.9916	853.6	0.486	0.777	0.767	-1.33	1.35	652.88	1.00	109.09	6.59	0	30.6243	0.946742446	6.554594565	39.34949	-74.86045
111	1413408	0.9872	691.3	0.083	0.524	0.734	-5.06	1.03	568.27	1.00	79.45	28.02	0	82.151603	0.767197231	26.4177638	42.15005	-74.52563
112	1413500	0.9936	588.0	0.369	0.900	0.000	-5.38	1.84	466.62	117.84	56.79	24.05	0	163.746002	0.790717344	23.56984431	42.20269	-74.55378
113	1414000	0.9723	361.6	0.177	0.051	0.525	-3.96	3.63	387.59	151.30	21.77	24.59	0	34.911998	0.734067595	24.20681913	42.20711	-74.6916
114	1414500	0.9812	382.6	0.218	0.766	0.010	-4.59	3.68	237.24	37.54	114.16	35.39	0	24.884799	0.62346143	33.92920567	42.07979	-74.65098
115	1415000	0.9667	410.4	0.033	0.496	0.637	-3.06	6.24	297.01	1.00	63.58	27.90	0	33.061298	0.658268568	27.77450045	42.18626	-74.80083
119	1421618	0.9833	405.8	0.096	0.075	0.000	-4.81	2.76	339.27	60.85	66.65	30.31	0	14.4118	0.70071196	30.1714468	42.36308	-74.60577
120	1422389	0.9922	882.3	0.481	0.008	0.444	-1.87	5.86	540.12	91.60	121.12	16.95	0	1.235679	0.626885232	17.08698321	42.23246	-74.73137
121	1422500	0.9285	317.5	0.000	0.270	0.415	-3.99	4.95	230.65	147.03	53.75	32.09	0	49.780101	0.600614564	31.81187263	42.27162	-74.77815
122	1422738	0.9867	322.9	0.036	0.038	0.068	-4.18	7.23	100.81	200.00	18.23	26.18	0	0.643204	0.737671749	26.70375229	42.26205	-75.03291
123	1422747	0.9609	282.3	0.035	0.225	0.773	-2.06	7.72	149.56	200.00	72.48	28.26	0	24.6725	0.717328031	27.8904907	42.23678	-75.06989
124	142400103	0.9433	208.2	0.000	0.485	0.508	-2.43	6.67	154.88	151.60	3.09	29.57	0	20.4036	0.692515577	29.36001552	42.22091	-75.26887
126	1434017	0.8672	462.5	0.000	0.025	0.174	-3.69	6.44	283.86	149.48	89.06	37.18	0	22.991699	0.663144643	35.88971156	41.9632	-74.45422
128	1434025	0.9940	718.9	0.525	0.865	0.000	-5.29	4.11	602.71	103.58	43.67	37.90	0	3.745249	0.638993292	37.41429245	42.0151	-74.48435
130	1439500	0.8830	342.4	0.000	0.040	0.535	-3.19	3.52	304.65	81.86	1.00	25.50	0	118.099998	0.711635699	24.46091308	41.21327	-75.09908
132	1440000	0.9418	283.2	0.000	0.536	1.000	0.10	9.25	216.38	63.56	19.06	18.44	0	64.757003	0.835562931	18.31307335	41.21277	-74.79575
133	1440400	0.7984	244.0	0.000	0.421	0.728	-5.12	0.04	152.80	29.80	76.50	29.70	0	67.647697	0.637345333	29.06215613	41.18664	-75.24336
134	1448500	0.9394	438.4	0.015	0.606	0.000	-5.70	7.96	1.00	131.07	32.31	30.12	0	2.436949	0.662743288	30.18268504	41.03129	-75.52241
135	1451800	0.9398	196.3	0.000	0.361	0.213	-1.07	8.50	59.10	1.00	104.70	26.58	0	52.449798	0.65262667	26.31869335	40.66179	-75.68973
136	1460880	0.9859	223.3	0.000	0.162	0.237	-0.91	1.26	182.79	47.90	1.00	21.73	0	22.9736	0.88059781	21.38226724	40.49368	-74.99226
139	1471875	0.6610	207.5	0.001	0.039	0.071	-1.00	1.78	135.56	1.26	23.38	33.20	0	57.175399	0.603842838	32.77255983	40.4047	-75.74175
140	1484000	0.9718	374.6	0.000	0.474	0.00	0.00	0.00	1.000	78.31	0.00	10.94	1	12.534999	0.889011307	10.95695838	38.98611	-75.59545
141	1484100	0.9877	554.4	0.000	0.444	0.00	0.00	0.00	1.000	190.37	0.00	8.80	1	3.476739	0.911881898	8.841410136	38.8938	-75.52843
142	1485000	0.9615	316.6	0.000	0.304	0.00	0.00	0.00	41.176	115.30	0.00	21.06	1	53.260799	0.699702481	21.42931321	38.47223	-75.35914
143	1485500	0.9974	296.5	0.313	1.000	0.00	0.00	0.00	1.069	90.74	0.00	13.22	1	54.648399	0.855006577	13.32381793	38.31377	-75.47497
144	1486000	0.9708	493.8	0.000	0.000	0.00	0.00	0.00	337.646	31.13	0.00	21.50	1	4.31687	0.686468877	21.64587313	38.22175	-75.64058
145	1487000	0.9721	535.0	0.000	0.525	0.00	0.00	0.00	196.696	200.00	0.00	12.55	1	72.359199	0.854485625	12.62635557	38.79942	-75.56355
146	1490000	0.9952	505.2	0.432	0.781	0.00	0.00	0.00	438.214	31.51	0.00	9.45	1	15.6576	0.88620384	9.522744145	38.55916	-75.882
147	1491000	0.9859	386.4	0.000	0.342	0.00	0.00	0.00	311.742	47.32	0.00	12.51	1	112.757003	0.883834851	12.59932272	39.07689	-75.70639
149	1492500	0.9923	380.9	0.439	0.230	0.00	0.00	0.00	1.000	199.97	0.00	9.49	1	7.333089	0.845613334	9.546028497	38.98595	-76.08253
151	1502000	0.9377	270.7	0.000	0.775	0.563	1.27	10.00	13.59	101.91	112.95	16.19	0	58.777999	0.849859265	16.75033928	42.64221	-75.17357
152	1502500	0.9551	314.8	0.051	1.000	0.681	-3.51	2.45	175.33	42.28	106.33	19.76	0	519.768005	0.773240482	19.3185782	42.69071	-75.26929
154	1510000	0.9977	250.1	0.479	1.000	0.387	-3.20	10.00	97.66	146.78	117.75	23.82	0	147.869995	0.676512675	24.99415957	42.68785	-75.80814
157	1516500	0.9909	374.2	0.000	0.644	0.000	-5.73	7.33	1.00	183.46	46.12	15.02	0	12.1538	0.740911149	14.14359081	41.76926	-76.96975
159	1518862	0.9917	217.5	0.162	0.926	0.574	-2.59	10.00	1.00	167.06	44.71	17.79	0	90.313102	0.75492105	15.43785375	41.93248	-77.62095
160	1525981	0.9952	236.6	0.313	0.114	0.021	-4.09	4.92	219.08	68.78	62.87	14.67	0	101.126998	0.671611019	14.04704551	42.11387	-77.44263
163	1527500	0.9679	200.3	0.081	0.104	0.514	-1.09	10.00	111.46	108.37	103.96	16.46	0	159.229003	0.644310034	15.7831202	42.50333	-77.47683
164	1528000	0.9817	279.0	0.000	0.036	1.000	0.19	9.21	238.87	142.74	1.18	17.14	0	67.5261	0.768236214	18.03445507	42.50396	-77.28118
165	1532000	0.9667	204.3	0.000	1.000	0.834	-5.19	3.76	109.75	128.83	16.65	17.85	0	213.876007	0.728321582	16.56245443	41.66344	-76.69471
166	1539000	0.9206	252.4	0.000	0.585	0.810	-6.70	0.94	116.86	65.66	92.61	21.61	0	270.957	0.731390765	20.92160776	41.23709	-76.34208
167	1542810	0.9714	250.2	0.020	0.750	0.000	-3.71	7.94	1.00	171.92	22.70	24.07	0	5.26031	0.672233602	22.38626005	41.61154	-78.28828
168	1543000	0.9607	277.4	0.000	0.824	0.491	-4.05	8.66	284.25	1.00	1.00	24.78	0	272.393005	0.706079452	22.097472	41.54218	-78.29747
169	1543500	0.9867	245.4	0.289	0.692	1.000	-2.10	7.84	246.86	67.88	1.00	21.85	0	686.585998	0.764626894	18.64482862	41.40371	-78.3588
170	1544500	0.9367	257.9	0.003	0.894	0.993	-2.28	7.04	127.41	11.71	96.32	21.63	0	137.089996	0.712385491	18.50932137	41.58821	-77.71912
171	1545600	0.9622	289.5	0.000	0.280	0.573	-3.12	5.58	220.33	24.22	34.32	18.92	0	46.3311	0.73829154	15.96909388	41.467	-77.63816
172	1547700	0.9834	225.7	0.163	0.407	1.000	-2.32	2.68	197.56	1.00	69.67	19.44	0	43.837299	0.754220112	17.68976401	41.04465	-77.74579
173	1548500	0.9585	248.8	0.000	0.721	0.698	-8.60	0.00	107.29	20.27	130.97	19.01	0	601.176025	0.726726369	17.00218357	41.71095	-77.5102
174	1549500	0.9729	249.3	0.023	0.035	0.805	-3.75	7.18	269.91	145.61	1.00	19.09	0	37.639099	0.748521185	16.59176506	41.51404	-77.13615
175	1550000	0.9800	150.4	0.627	1.000	0.100	-5.55	0.47	108.24	1.02	98.94	19.98	0	174.777999	0.737724121	17.64470554	41.53111	-76.95227
176	1552000	0.9085	212.7	0.226	1.000	0.521	-5.15	2.47	195.62	18.69	1.00	22.35	0	436.095001	0.620253109	21.17658014	41.46524	-76.60313
178	1557500	0.9612	263.3	0.000	0.412	0.872	-0.42	4.58	21.30	33.01	200.00	20.72	0	44.515998	0.788083214	17.80970163	40.74236	-78.2121
180	1564500	0.9859	235.0	0.000	0.247	1.000	-0.86	3.66	107.05	115.56	95.14	17.13	0	172.031005	0.828638089	15.90689548	40.09832	-78.01316
181	1566000	0.9902	258.9	0.280	0.196	0.759	1.09	10.00	33.10	1.06	194.08	16.18	0	209.923004	0.769226669	15.02403715	40.35862	-77.63032
182	1567500	0.9837	308.3	0.165	0.382	1.000	-4.34	1.67	87.17	27.95	160.92	12.43	0	14.970199	0.799802726	11.39446121	40.38763	-77.44076
183	1568000	0.9761	244.2	0.089	0.062	0.170	-0.46	10.00	146.68	50.35	61.69	18.16	0	206.330001	0.758882157	16.53585747	40.31935	-77.40754
184	1571184	0.9858	436.5	0.000	0.069	0.609	-3.78	1.10	321.20	200.00	45.81	15.25	0	13.7721	0.805705411	14.86407991	40.0038	-77.35841
186	1580000	0.9822	499.2	0.461	0.212	0.411	-0.77	6.20	169.03	152.41	200.00	7.65	0	94.351303	0.841949375	7.649789535	39.69375	-76.53267
187	1581810	0.9932	577.8	0.469	0.127	0.452	-0.70	5.72	527.25	48.90	1.00	7.11	0	27.217199	0.855488376	7.132293851	39.70605	-76.84491
188	1581830	0.9948	1000.0	0.231	0.047	0.00	0.00	0.00	861.213	199.91	0.00	8.09	1	7.634719	0.799513208	8.108585233	39.66105	-76.82876
189	1581870	0.9847	1000.0	0.173	0.000	0.00	0.00	0.00	761.446	1.36	0.00	10.04	1	15.497699	0.673204885	10.01214546	39.62502	-76.8246
190	1581960	0.9874	347.0	0.692	0.174	0.584	-3.31	0.00	290.11	146.40	2.00	8.29	0	9.844759	0.728242035	8.296769379	39.70481	-76.67278
192	1583500	0.9897	1000.0	0.000	0.159	0.00	0.00	0.00	578.256	199.96	0.00	8.18	1	60.1735	0.760801146	8.236490377	39.53389	-76.76842
193	1583580	0.9902	1000.0	0.000	0.129	0.00	0.00	0.00	661.388	121.07	0.00	8.83	1	1.503939	0.7803585	8.898597532	39.48121	-76.69711
194	1586610	0.9913	935.3	0.000	0.067	0.00	0.00	0.00	706.964	200.00	0.00	11.74	1	28.0713	0.678607662	11.82350345	39.48948	-77.01427
195	1591400	0.9954	271.7	0.628	0.125	0.00	0.00	0.00	233.128	200.00	0.00	10.07	1	22.8162	0.68630484	10.11458394	39.30703	-77.0638
196	1594936	0.9597	328.6	0.000	0.113	0.00	0.00	0.00	166.914	199.95	0.00	28.64	1	1.91433	0.626192874	29.00838633	39.27402	-79.4239
197	1594950	1.0000	187.4	0.515	1.000	0.00	0.00	0.00	224.263	1.46	0.00	28.84	1	2.36224	0.650634977	29.05738817	39.28311	-79.41164
198	1596500	0.9893	191.3	0.000	0.183	0.450	-2.72	3.81	30.50	36.83	157.90	18.32	0	48.127601	0.87777335	17.77684157	39.63227	-79.05802
200	1601000	1.0000	156.6	0.520	0.896	0.995	-2.00	2.50	79.18	42.13	98.71	21.16	0	145.947998	0.815574112	19.59016981	39.86255	-78.80358
