year,month,flow
1949,1,0
1949,2,65.3553093260818
1949,3,68.3243933800185
1949,4,70.2975692833753
1949,5,56.4694817668308
1949,6,22.5540402169134
1949,7,17.281603766452
1949,8,16.1476251320512
1949,9,17.3458597210566
1949,10,17.7525349445871
1949,11,15.0344266758393
1949,12,20.9103280533448
1950,1,59.8769840239918
1950,2,66.3674030767198
1950,3,83.9855519331403
1950,4,117.516595410789
1950,5,66.5668048082902
1950,6,35.9585668528576
1950,7,18.9312575320097
1950,8,14.8557447115859
1950,9,9.23076999890015
1950,10,10.1130267395511
1950,11,45.5966037175209
1950,12,70.9118942168549
1951,1,75.5483132538585
1951,2,100.764734754519
1951,3,162.789325832516
1951,4,85.9555287113255
1951,5,49.856625073655
1951,6,38.9388676546897
1951,7,22.3979742255619
1951,8,22.760356877975
1951,9,20.576394020571
1951,10,41.0832750833771
1951,11,68.6526680875015
1951,12,83.2389774458419
1952,1,96.0728808945612
1952,2,81.9436617865026
1952,3,106.609707233567
1952,4,88.8031954291545
1952,5,84.8639405135357
1952,6,58.390450802618
1952,7,33.5632024695219
1952,8,23.3580513652167
1952,9,26.1973583799669
1952,10,13.8567108541338
1952,11,16.9720683532895
1952,12,41.8336745977049
1953,1,104.786658060796
1953,2,84.3494165529043
1953,3,212.004468223147
1953,4,127.129802100761
1953,5,98.4816446433308
1953,6,32.5899853612453
1953,7,12.2679720174519
1953,8,8.38342790855309
1953,9,6.5258632756215
1953,10,19.387048000563
1953,11,19.219018713123
1953,12,44.5464542934962
1954,1,33.4800302663975
1954,2,49.4328311608438
1954,3,94.9171305700857
1954,4,81.2933537943433
1954,5,86.3517465602767
1954,6,41.0127956968742
1954,7,24.0993261940253
1954,8,29.1128530691362
1954,9,64.4160662325665
1954,10,33.2917649207102
1954,11,72.1420755148302
1954,12,70.3816199251469
1955,1,42.7920941591956
1955,2,60.9752407772112
1955,3,111.628198013209
1955,4,104.99491641457
1955,5,44.7397410313275
1955,6,30.0797780933657
1955,7,15.131805415681
1955,8,159.383844909951
1955,9,38.9879980547816
1955,10,207.867269219024
1955,11,96.5230264179032
1955,12,37.7153334970135
1956,1,45.6302497954249
1956,2,69.3364141318809
1956,3,104.793456327704
1956,4,130.54479237905
1956,5,45.6698395459755
1956,6,23.134636036968
1956,7,21.1783127582315
1956,8,11.1801569156002
1956,9,36.6894467563595
1956,10,21.3153014736976
1956,11,27.0522384966556
1956,12,56.2277733915258
1957,1,35.6819853028279
1957,2,38.6974932404632
1957,3,51.1451405854777
1957,4,43.9605380635074
1957,5,46.7222919145711
1957,6,32.3513065008388
1957,7,12.7219909444626
1957,8,6.68000616492157
1957,9,5.15055707321702
1957,10,6.23460005326164
1957,11,25.7574487276632
1957,12,74.9196622092267
1958,1,74.3594672700232
1958,2,54.0250994831027
1958,3,117.89121969479
1958,4,98.112605481733
1958,5,48.2059509729087
1958,6,21.2058139138123
1958,7,32.5332308118733
1958,8,26.1488839767395
1958,9,30.9299019447205
1958,10,28.9725023156024
1958,11,40.903562651975
1958,12,25.0791579800095
1959,1,37.4645710291244
1959,2,39.1828042626504
1959,3,135.412769547384
1959,4,83.2271411338699
