Year,Flow
2000,65.692712932425
2000,20.0150907569144
2000,15.502221710275
2000,28.7809024465293
2001,111.438347555985
2001,17.2075878225351
2001,28.4131450172629
2001,61.3311575932598
2002,94.948791498225
2002,18.3813745495035
2002,41.627374058511
2002,69.2132655306986
2003,82.1524459034498
2003,16.8114527373494
2003,64.4175030059515
2003,73.7987465339929
2004,122.066537681565
2004,21.8118719407083
2004,10.6955756696831
2004,81.8265378380659
2005,70.3190935817465
2005,53.7973149679742
2005,39.0634733822863
2005,62.2068075945611
2006,117.42955361826
2006,20.1852261846772
2006,35.5524478676411
2006,39.6272436836061
2007,168.098482050975
2007,42.5647869658094
2007,44.8993331903499
2007,53.6528281126702
2008,118.376040610807
2008,24.6092254499292
2008,18.0952813491389
2008,75.9062747996894
2009,66.5460616263395
2009,22.1753673949702
2009,32.3636208181758
2009,28.8542133982451
2010,80.3397136173891
2010,36.3674850175491
2010,35.5653084164357
2010,57.3295859235006
2011,132.157553978844
2011,36.7665992671152
2011,11.106853419082
2011,80.8072587956439
2012,45.7948280066114
2012,18.3193552559874
2012,24.5121773378562
2012,17.7812920037102
2013,88.7236714493882
2013,17.9572553023685
2013,27.7414285603497
2013,25.6810685708214
2014,94.1105859257393
2014,34.4834537222082
2014,16.9287554735523
2014,72.8842115314731
2015,52.9409694791065
2015,13.7821271867424
2015,29.1517405837235
2015,32.8079018164305
2016,44.7666589418356
2016,30.7007666612146
2016,58.0215367871328
2016,36.9746771723558
2017,82.4827564402874
2017,40.5874288754594
2017,38.1905643407422
2017,57.8832159151108
2018,96.0303674796493
2018,51.164560428377
2018,13.2046117639225
2018,43.2432025488343
2019,70.3020959824997
2019,53.7477203770214
2019,33.0133556349289
2019,52.1406075642141
2020,77.4214456918455
2020,18.8645613247986
2020,17.2585738204528
2020,58.6638719418943
2021,81.8561052755334
2021,23.7812926765977
2021,47.9734944323598
2021,59.315086460858
2022,69.4370905419012
2022,48.0323104412424
2022,43.0846608408044
2022,52.4931977542343
2023,98.3628201490664
2023,28.5339033662153
2023,26.1917404715585
2023,52.3559503766371
2024,119.925114689216
2024,29.4536326551031
2024,21.7125111257199
2024,45.0062510114589
2025,75.4948261774395
2025,28.1754467963958
2025,11.4910485049466
2025,60.1737923329955
2026,71.9657352779238
2026,28.0895099900302
2026,63.9336843559646
2026,96.7307216623206
2027,82.9552307319789
2027,43.8724222065105
2027,21.8142476201918
2027,62.2465808568798
2028,92.2947602292312
2028,20.0010756963398
2028,23.7565287397243
2028,67.0485544171959
2029,100.756199242617
2029,27.7982694867313
2029,24.0884461346417
2029,45.2445954186751
2030,88.3336361590312
2030,24.1285245793539
2030,20.7391792463198
2030,36.0081997044298
2031,142.738887959755
2031,25.2058687164823
2031,28.6535574839405
2031,62.402459872009
2032,68.6080163488893
2032,14.8258356907384
2032,23.8210609628781
2032,67.8927366782046
2033,66.0307029417868
2033,65.2708609807837
2033,33.0895569607971
2033,45.9581808146045
2034,106.778695671314
2034,28.4673815575827
2034,47.3921611438622
2034,55.6540097044803
2035,80.0024424969699
2035,34.6985768403192
2035,11.0239080660286
2035,71.3964392270375
2036,84.8188476033595
2036,14.265749695108
2036,12.4061949408695
2036,73.4725624840797
2037,74.7008253141378
2037,21.292655635134
2037,23.8368055909119
2037,41.3864597467053
2038,96.9466231169451
2038,36.7017116791162
2038,62.2751817630173
2038,45.6016518063008
2039,69.5015488614327
2039,49.2957446145842
2039,19.731953749172
2039,44.3118707075583
2040,60.6599657264118
2040,25.0941947480983
2040,17.8662987029969
2040,27.730180306079
2041,72.6492919015038
2041,21.9910920976211
2041,19.3481506758665
2041,29.2709598898533
2042,87.2789726604449
2042,33.8560049091817
2042,13.4812496806937
2042,34.9457523370823
2043,133.065147300195
2043,39.4448339164996
2043,51.5132953128809
2043,49.2388477590152
2044,101.366176394915
2044,20.0737636651891
2044,43.2232298297865
2044,106.343924845641
2045,82.8480203855627
2045,32.8198811090131
2045,18.0631172731837
2045,47.264294507589
2046,117.883602950038
2046,17.8367400670985
2046,24.4801065385142
2046,30.5971803085833
2047,69.0655552640684
2047,58.7811128150935
2047,47.081787948912
2047,96.4788322230298
2048,105.63577974853
2048,17.4470565950836
2048,97.3246835965932
2048,61.505174556528
2049,97.7628465538181
2049,21.9107641582352
2049,18.6214403833487
2049,91.466734634604
2050,69.7941282421464
2050,28.6240990737514
2050,82.1908709611923
2050,27.0742597391447
2051,117.972836749967
2051,24.6581348947787
2051,27.7143673538441
2051,53.6818479835398
2052,84.1912030690894
2052,25.1666302462147
2052,32.6207862405273
2052,42.9934694146348
2053,62.4604682195679
2053,25.7988758544916
2053,24.8541895562535
2053,70.3883949134956
2054,71.8724385136822
2054,19.0276039461059
2054,41.4670260374528
2054,29.1630199589093
2055,96.8155922173523
2055,10.768534527726
2055,14.7473044393545
2055,100.368253331768
2056,68.9618565948556
2056,14.88881883886
2056,29.2506407495543
2056,50.2955408241123
2057,107.811002140583
2057,17.6840681361067
2057,19.185922287453
2057,67.2547234650354
2058,77.1913176296683
2058,23.3144635656989
2058,40.3787261176702
2058,70.9961506550158
2059,104.4061068011
2059,32.2022284284129
2059,33.5257392192273
2059,74.155978749463
2060,66.6665842464565
2060,9.84271432517804
2060,19.4516919613368
2060,81.0187686225037
2061,88.8004300554015
2061,34.9583770575832
2061,9.26239142132237
2061,46.5705534405245
2062,60.3072726866089
2062,42.6933473142392
2062,77.6711688534004
2062,68.4759673647634
2063,82.698347706216
2063,19.1070670857625
2063,12.1554667870367
2063,54.0382303311608
2064,137.862243842963
2064,42.1507965976013
2064,14.4966280066525
2064,65.8281494615256
2065,78.8126444717941
2065,33.65041515586
2065,20.4117018627488
2065,41.3380981132005
2066,105.737262079429
2066,28.3084021020246
2066,28.93727923563
2066,67.802146182696
2067,111.606102152942
2067,33.7312131002987
2067,39.2137400578614
2067,45.7419698656255
2068,66.9548498443849
2068,11.2490212248579
2068,16.2946997804498
2068,56.1528753226498
2069,65.496090615238
2069,13.6770591680635
2069,33.7052800276337
2069,45.6186370875141
2070,104.807489167438
2070,32.9935751052081
2070,28.1755367430432
2070,42.6664592338108
2071,74.2045058597033
2071,18.7034327407652
2071,78.3901777153271
2071,52.0235320045283
2072,84.610118613727
2072,23.3514482463073
2072,23.3361440998575
2072,70.9479485009241
2073,61.6976957876903
2073,36.4128015152785
2073,11.5376935812536
2073,70.2539385718826
2074,59.9077752345583
2074,10.6035233300117
2074,17.8566188864154
2074,40.9015075701513
2075,88.3400767374071
2075,23.2512811022746
2075,17.326369039192
2075,42.7112540313707
2076,58.9958848588637
2076,21.6368995208848
2076,18.1548101329018
2076,36.8061310091101
2077,47.4554313517591
2077,44.6144848495291
2077,15.7361085931336
2077,19.4641506674702
2078,69.0088793114645
2078,34.2322272897682
2078,23.3082781170782
2078,75.7241948522112
2079,142.059066648407
2079,40.936004363968
2079,15.1266988615153
2079,42.8786149744297
2080,110.005884316959
2080,30.9542369478894
2080,68.8048503205654
2080,43.801792524997
2081,82.4748311198855
