Year,Flow
1949,18.6610897051389
1950,23.2485230321511
1951,28.0323995860756
1952,38.4372348791189
1953,17.7471284290834
1954,31.4083249866786
1955,68.1984761396661
1956,18.4977019035999
1957,17.2511012034077
1958,26.629309567475
1959,33.8019892810979
1960,38.5345473537344
1961,27.2393613974889
1962,12.7894332905381
1963,17.9631411812692
1964,14.1868116074399
1965,15.8385431365112
1966,21.4970557969658
1967,38.5352111606299
1968,39.8778455599488
1969,37.9055755741354
1970,24.9561585892586
1971,30.6683522330632
1972,64.353953518205
1973,44.5296987920811
1974,28.63444173546
1975,74.1022210003361
1976,32.8624360069733
1977,32.8654290775809
1978,28.4154450695713
1979,29.7911852751045
1980,20.5790479660516
1981,17.3011927167378
1982,56.0291786181874
1983,28.2250703926571
1984,28.0026034134674
1985,25.2676953837784
1986,48.3525905605215
1987,22.323445869198
1988,36.4287531211141
1989,54.4834462259715
1990,46.1130681063484
1991,31.3890145479238
1992,40.3646120163195
1993,13.1474531814393
1994,32.0053738150292
1995,21.4914193097751
1996,53.7801663876688
1997,25.6055820318841
1998,47.5612585432751
1999,20.3176263737354
2000,83.9189600081967
2001,30.7930134801425
2002,27.7232406030801
2003,44.0966785240857
2004,22.4689223610624
2005,35.5497280489541
2006,48.2421073520603
2007,30.4447524493047
2008,51.3602318951253
2009,71.2944215327976
2010,18.0035757639105
