Year,Flow
1949,65.0304814767415
1950,89.356317384073
1951,99.5338265391655
1952,93.4256143920856
1953,145.871971655746
1954,87.5207436415686
1955,87.1209518197019
1956,93.6693627509098
1957,47.275990187852
1958,88.0699253831441
1959,82.3131006653592
1960,91.8234417862939
1961,107.503683214438
1962,72.7421363040253
1963,77.272319419001
1964,74.4263914825825
1965,50.3518282329143
1966,50.4912847347982
1967,95.2525721409441
1968,72.6772173593338
1969,80.9744168312025
1970,97.9889402646752
1971,78.7234690537462
1972,127.122438888473
1973,108.474925880012
1974,90.7223391902516
1975,78.2098993562348
1976,89.0806054517748
1977,102.458334814833
1978,89.3937052412953
1979,141.288498911911
1980,96.5033253789015
1981,43.4619730450238
1982,105.244091055149
1983,170.16008023021
1984,159.953179916331
1985,46.1267845818731
1986,72.4365352634993
1987,94.8740687900247
1988,66.7029560610159
1989,90.5966187461475
1990,95.5769938305904
1991,78.6405479587374
1992,82.5606059076217
1993,124.219740912562
1994,140.417951654401
1995,52.252633611974
1996,140.452324952634
1997,89.010237085171
1998,75.5518868671285
1999,81.0525675814955
2000,92.9847102378108
2001,103.256265184391
2002,60.1054867447073
2003,101.219156968475
2004,86.5386818395287
2005,109.938994666783
2006,63.0297525262699
2007,108.746165356151
2008,120.46841142601
2009,76.9368441740006
2010,84.045043527921
