Year,Flow
1949,65.0304814767415
1949,18.6610897051389
1949,16.710940447161
1949,32.6776546630409
1950,89.356317384073
1950,23.2485230321511
1950,21.6468001519907
1950,49.0515717180188
1951,99.5338265391655
1951,28.0323995860756
1951,43.4374457304832
1951,82.4083140750775
1952,93.4256143920856
1952,38.4372348791189
1952,19.0087125291301
1952,87.0851733756352
1953,145.871971655746
1953,17.7471284290834
1953,15.0439766631025
1953,76.9899164038017
1954,87.5207436415686
1954,31.4083249866786
1954,56.6166355560356
1954,42.4864385735792
1955,87.1209518197019
1955,68.1984761396661
1955,114.45943123057
1955,58.0496516205179
1956,93.6693627509098
1956,18.4977019035999
1956,28.3523289089042
1956,50.8939991414398
1957,47.275990187852
1957,17.2511012034077
1957,12.3808686180473
1957,43.535750644939
1958,88.0699253831441
1958,26.629309567475
1958,33.601988970766
1958,67.7680763207842
1959,82.3131006653592
1959,33.8019892810979
1959,56.3035063531373
1959,33.9088444239281
1960,91.8234417862939
1960,38.5345473537344
1960,43.9117930355702
1960,80.7781759658537
1961,107.503683214438
1961,27.2393613974889
1961,13.3263576446667
1961,26.3745705680328
1962,72.7421363040253
1962,12.7894332905381
1962,27.79652776891
1962,34.4937657547347
1963,77.272319419001
1963,17.9631411812692
1963,18.4536119634079
1963,32.429455451326
1964,74.4263914825825
1964,14.1868116074399
1964,7.56816810239932
1964,47.5987924486197
1965,50.3518282329143
1965,15.8385431365112
1965,21.2338858144942
1965,23.9189873994127
1966,50.4912847347982
1966,21.4970557969658
1966,33.5589402183294
1966,35.8459189701128
1967,95.2525721409441
1967,38.5352111606299
1967,17.9018742671398
1967,36.9478162590239
1968,72.6772173593338
1968,39.8778455599488
1968,28.2292381743338
1968,41.9356096580429
1969,80.9744168312025
1969,37.9055755741354
1969,36.7747332033948
1969,58.9670984282482
1970,97.9889402646752
1970,24.9561585892586
1970,17.9819154990759
1970,64.9695522682454
1971,78.7234690537462
1971,30.6683522330632
1971,30.7707086112533
1971,37.9694062888791
1972,127.122438888473
1972,64.353953518205
1972,36.2237331247679
1972,53.7847606704633
1973,108.474925880012
1973,44.5296987920811
1973,15.0395803487716
1973,86.2343093989979
1974,90.7223391902516
1974,28.63444173546
1974,37.0664515406747
1974,84.5175159511164
1975,78.2098993562348
1975,74.1022210003361
1975,80.3161974373957
1975,66.7735158598502
1976,89.0806054517748
1976,32.8624360069733
1976,25.3155191912803
1976,71.3224401196659
1977,102.458334814833
1977,32.8654290775809
1977,87.3814795841883
1977,21.588147130318
1978,89.3937052412953
1978,28.4154450695713
1978,11.4011826806561
1978,83.1648648137731
1979,141.288498911911
1979,29.7911852751045
1979,50.0199561897558
1979,66.710377175849
1980,96.5033253789015
1980,20.5790479660516
1980,12.9603440186305
1980,36.6482987634282
1981,43.4619730450238
1981,17.3011927167378
1981,23.0161994606914
1981,61.0451634967759
1982,105.244091055149
1982,56.0291786181874
1982,12.7827154582673
1982,49.1311702284104
1983,170.16008023021
1983,28.2250703926571
1983,35.6880504345456
1983,43.9405168938162
1984,159.953179916331
1984,28.0026034134674
1984,12.4300924857262
1984,120.226221583771
1985,46.1267845818731
1985,25.2676953837784
1985,42.7628595791807
1985,29.8205722445879
1986,72.4365352634993
1986,48.3525905605215
1986,22.1259077933035
1986,63.3759866058754
1987,94.8740687900247
1987,22.323445869198
1987,56.4068538791496
1987,74.3484662643773
1988,66.7029560610159
1988,36.4287531211141
1988,32.0810175684224
1988,42.1548644090376
1989,90.5966187461475
1989,54.4834462259715
1989,68.668121067026
1989,36.9910895967818
1990,95.5769938305904
1990,46.1130681063484
1990,44.4317091310328
1990,57.5216344298218
1991,78.6405479587374
1991,31.3890145479238
1991,67.6763694590827
1991,62.1806570784304
1992,82.5606059076217
1992,40.3646120163195
1992,27.7003244683224
1992,55.9509253313968
1993,124.219740912562
1993,13.1474531814393
1993,28.0035061065843
1993,52.5770427553561
1994,140.417951654401
1994,32.0053738150292
1994,25.1681938399722
1994,39.6966156241691
1995,52.252633611974
1995,21.4914193097751
1995,79.1604449149773
1995,63.0379530105183
1996,140.452324952634
1996,53.7801663876688
1996,60.38366663519
1996,66.4975202741691
1997,89.010237085171
1997,25.6055820318841
1997,34.8919436444631
1997,90.7740532997319
1998,75.5518868671285
1998,47.5612585432751
1998,18.5218769006294
1998,72.9257281341458
1999,81.0525675814955
1999,20.3176263737354
1999,81.9361632073936
1999,47.3645198974006
2000,92.9847102378108
2000,83.9189600081967
2000,30.4631484189293
2000,43.1694475544147
2001,103.256265184391
2001,30.7930134801425
2001,14.6018373066955
2001,41.0191559513501
2002,60.1054867447073
2002,27.7232406030801
2002,32.9869527097177
2002,20.6747884668829
2003,101.219156968475
2003,44.0966785240857
2003,87.5329768741303
2003,54.3863142377726
2004,86.5386818395287
2004,22.4689223610624
2004,46.5680571485147
2004,57.2737759181517
2005,109.938994666783
2005,35.5497280489541
2005,109.9071401644
2005,57.5561446393817
2006,63.0297525262699
2006,48.2421073520603
2006,46.771235565946
2006,89.8151742219538
2007,108.746165356151
2007,30.4447524493047
2007,19.1850550274423
2007,41.1661039665412
2008,120.46841142601
2008,51.3602318951253
2008,55.8381123887272
2008,83.9873365198542
2009,76.9368441740006
2009,71.2944215327976
2009,30.0550438241879
2009,62.528171748672
2010,84.045043527921
2010,18.0035757639105
2010,36.7654086419822
2010,64.3523658397794
2011,58.1931899390889
