Year,Flow
1949,32.6776546630409
1950,49.0515717180188
1951,82.4083140750775
1952,87.0851733756352
1953,76.9899164038017
1954,42.4864385735792
1955,58.0496516205179
1956,50.8939991414398
1957,43.535750644939
1958,67.7680763207842
1959,33.9088444239281
1960,80.7781759658537
1961,26.3745705680328
1962,34.4937657547347
1963,32.429455451326
1964,47.5987924486197
1965,23.9189873994127
1966,35.8459189701128
1967,36.9478162590239
1968,41.9356096580429
1969,58.9670984282482
1970,64.9695522682454
1971,37.9694062888791
1972,53.7847606704633
1973,86.2343093989979
1974,84.5175159511164
1975,66.7735158598502
1976,71.3224401196659
1977,21.588147130318
1978,83.1648648137731
1979,66.710377175849
1980,36.6482987634282
1981,61.0451634967759
1982,49.1311702284104
1983,43.9405168938162
1984,120.226221583771
1985,29.8205722445879
1986,63.3759866058754
1987,74.3484662643773
1988,42.1548644090376
1989,36.9910895967818
1990,57.5216344298218
1991,62.1806570784304
1992,55.9509253313968
1993,52.5770427553561
1994,39.6966156241691
1995,63.0379530105183
1996,66.4975202741691
1997,90.7740532997319
1998,72.9257281341458
1999,47.3645198974006
2000,43.1694475544147
2001,41.0191559513501
2002,20.6747884668829
2003,54.3863142377726
2004,57.2737759181517
2005,57.5561446393817
2006,89.8151742219538
2007,41.1661039665412
2008,83.9873365198542
2009,62.528171748672
2010,64.3523658397794
2011,58.1931899390889
