Year,Flow
2000,28.7809024465293
2001,61.3311575932598
2002,69.2132655306986
2003,73.7987465339929
2004,81.8265378380659
2005,62.2068075945611
2006,39.6272436836061
2007,53.6528281126702
2008,75.9062747996894
2009,28.8542133982451
2010,57.3295859235006
2011,80.8072587956439
2012,17.7812920037102
2013,25.6810685708214
2014,72.8842115314731
2015,32.8079018164305
2016,36.9746771723558
2017,57.8832159151108
2018,43.2432025488343
2019,52.1406075642141
2020,58.6638719418943
2021,59.315086460858
2022,52.4931977542343
2023,52.3559503766371
2024,45.0062510114589
2025,60.1737923329955
2026,96.7307216623206
2027,62.2465808568798
2028,67.0485544171959
2029,45.2445954186751
2030,36.0081997044298
2031,62.402459872009
2032,67.8927366782046
2033,45.9581808146045
2034,55.6540097044803
2035,71.3964392270375
2036,73.4725624840797
2037,41.3864597467053
2038,45.6016518063008
2039,44.3118707075583
2040,27.730180306079
2041,29.2709598898533
2042,34.9457523370823
2043,49.2388477590152
2044,106.343924845641
2045,47.264294507589
2046,30.5971803085833
2047,96.4788322230298
2048,61.505174556528
2049,91.466734634604
2050,27.0742597391447
2051,53.6818479835398
2052,42.9934694146348
2053,70.3883949134956
2054,29.1630199589093
2055,100.368253331768
2056,50.2955408241123
2057,67.2547234650354
2058,70.9961506550158
2059,74.155978749463
2060,81.0187686225037
2061,46.5705534405245
2062,68.4759673647634
2063,54.0382303311608
2064,65.8281494615256
2065,41.3380981132005
2066,67.802146182696
2067,45.7419698656255
2068,56.1528753226498
2069,45.6186370875141
2070,42.6664592338108
2071,52.0235320045283
2072,70.9479485009241
2073,70.2539385718826
2074,40.9015075701513
2075,42.7112540313707
2076,36.8061310091101
2077,19.4641506674702
2078,75.7241948522112
2079,42.8786149744297
2080,43.801792524997
2081,82.4748311198855
