Year,Flow
2000,65.692712932425
2001,111.438347555985
2002,94.948791498225
2003,82.1524459034498
2004,122.066537681565
2005,70.3190935817465
2006,117.42955361826
2007,168.098482050975
2008,118.376040610807
2009,66.5460616263395
2010,80.3397136173891
2011,132.157553978844
2012,45.7948280066114
2013,88.7236714493882
2014,94.1105859257393
2015,52.9409694791065
2016,44.7666589418356
2017,82.4827564402874
2018,96.0303674796493
2019,70.3020959824997
2020,77.4214456918455
2021,81.8561052755334
2022,69.4370905419012
2023,98.3628201490664
2024,119.925114689216
2025,75.4948261774395
2026,71.9657352779238
2027,82.9552307319789
2028,92.2947602292312
2029,100.756199242617
2030,88.3336361590312
2031,142.738887959755
2032,68.6080163488893
2033,66.0307029417868
2034,106.778695671314
2035,80.0024424969699
2036,84.8188476033595
2037,74.7008253141378
2038,96.9466231169451
2039,69.5015488614327
2040,60.6599657264118
2041,72.6492919015038
2042,87.2789726604449
2043,133.065147300195
2044,101.366176394915
2045,82.8480203855627
2046,117.883602950038
2047,69.0655552640684
2048,105.63577974853
2049,97.7628465538181
2050,69.7941282421464
2051,117.972836749967
2052,84.1912030690894
2053,62.4604682195679
2054,71.8724385136822
2055,96.8155922173523
2056,68.9618565948556
2057,107.811002140583
2058,77.1913176296683
2059,104.4061068011
2060,66.6665842464565
2061,88.8004300554015
2062,60.3072726866089
2063,82.698347706216
2064,137.862243842963
2065,78.8126444717941
2066,105.737262079429
2067,111.606102152942
2068,66.9548498443849
2069,65.496090615238
2070,104.807489167438
2071,74.2045058597033
2072,84.610118613727
2073,61.6976957876903
2074,59.9077752345583
2075,88.3400767374071
2076,58.9958848588637
2077,47.4554313517591
2078,69.0088793114645
2079,142.059066648407
2080,110.005884316959
