year,month,precip,TMAX,TMIN,TAVG,ET,DIF
2010,3,66.88,8.07,-3.38,2.34,44.4,11.4554838709677
2010,4,4.58,18.44,2.59,10.52,97.07,15.8473333333333
2010,5,104.87,25.5,9.65,17.58,152.72,15.848064516129
2010,6,88.66,25.6,11.54,18.57,158.34,14.0616666666667
2010,7,45.97,31.07,16.13,23.6,193.99,14.9351612903226
2010,8,71.86,29.73,14.06,21.89,176.55,15.6722580645161
2010,9,256.62,23.04,8.83,15.93,116.17,14.2126666666667
2010,10,110.35,18.28,5.28,11.78,76.72,12.9990322580645
2010,11,113.1,11.38,1.02,6.2,37.57,10.3563333333333
2010,12,63.62,4.13,-5.73,-0.8,19.94,9.85838709677419
2011,1,182.06,6.19,-5.65,0.27,22.28,11.8335483870968
2011,2,81.06,4.21,-7.48,-1.64,23.32,11.6910714285714
2011,3,112.62,11.42,-1.15,5.13,52.95,12.5687096774194
2011,4,62.51,18.32,4.27,11.3,71.01,14.045
2011,5,104.02,22.26,7.61,14.93,107.89,14.6503225806452
2011,6,116.88,28.89,14.14,21.52,163.71,14.744
2011,7,112.16,30.78,17.53,24.15,177.29,13.2474193548387
2011,8,139.44,28.16,14.64,21.4,174.76,13.5183870967742
2011,9,111.17,23.06,9.96,16.51,139.53,13.1013333333333
2011,10,207.92,19.29,4.24,11.76,104.78,15.0529032258064
2011,11,210.79,11.92,2.08,7,55.97,9.84266666666667
2011,12,96.5,5.84,-3.66,1.09,28.33,9.50225806451613
2012,1,50.26,-0.28,-12.48,-6.38,14.91,12.2035483870968
2012,2,97.97,4.16,-8.27,-2.05,19.9,12.4346428571429
2012,3,180.04,6.1,-4.7,0.7,25.65,10.7941935483871
2012,4,148.61,16.25,2.57,9.41,65.53,13.6796666666667
2012,5,90.25,23.3,8.49,15.89,84.42,14.8009677419355
2012,6,51.44,27.71,12.4,20.05,127.56,15.3153333333333
2012,7,168.6,29.68,16.62,23.15,160.44,13.0525806451613
2012,8,225.2,29,15.56,22.28,170.55,13.4316129032258
2012,9,43.64,23.2,7.3,15.25,159.82,15.9033333333333
2012,10,68.95,17.71,3.25,10.48,120.84,14.4645161290323
2012,11,112.92,10.05,-1.27,4.39,68.21,11.3223333333333
2012,12,122.86,6.08,-4.36,0.86,43.39,10.4474193548387
2013,1,205.26,1.8,-8.73,-3.47,22.63,10.5325806451613
2013,2,130.85,5.89,-3.58,1.16,21.8,9.475
2013,3,76.21,8.05,-2.62,2.71,24.01,10.6616129032258
2013,4,80.09,16.64,2.19,9.42,43.66,14.4496666666667
2013,5,114.98,22.88,9.59,16.24,80.81,13.2912903225806
2013,6,132.37,26.36,12.84,19.6,89.56,13.5203333333333
2013,7,76.85,30.03,16.95,23.49,128.6,13.0803225806452
2013,8,67.61,28.91,16.18,22.55,156.11,12.7283870967742
2013,9,123.83,24.14,11.98,18.06,145.21,12.162
2013,10,82.54,18.78,4.93,11.86,133.82,13.8483870967742
2013,11,173.26,11.61,0.86,6.23,88.57,10.7576666666667
2013,12,142.9,4.96,-5.37,-0.21,51.67,10.3348387096774
2014,1,27.59,-0.31,-13.78,-7.04,28.4,13.47
2014,2,66.1,4.66,-8.74,-2.04,28.06,13.3928571428571
2014,3,162.5,10.82,-1.25,4.78,29.31,12.07
2014,4,91.27,14.63,2.14,8.39,33.16,12.4866666666667
2014,5,169.19,22.99,8.21,15.6,54.18,14.7741935483871
2014,6,89.2,26.18,13.77,19.98,86.67,12.4133333333333
2014,7,129.67,29.9,16.98,23.44,96.52,12.9190322580645
2014,8,183.94,27.61,13.82,20.71,123.15,13.788064516129
2014,9,287.5,23.31,11.85,17.58,129.9,11.462
2014,10,308.45,16.85,4,10.43,117.49,12.8509677419355
2014,11,79.64,10.57,-0.17,5.2,91.4,10.74
2014,12,116.72,3.34,-7.18,-1.92,57.85,10.5177419354839
2015,1,29.57,4.63,-6.31,-0.84,51.26,10.9448387096774
2015,2,36.32,5.07,-9.17,-2.05,42.74,14.235
2015,3,85.64,6.22,-5.05,0.58,30.02,11.2703225806452
2015,4,115,14.57,2.21,8.39,34.4,12.3656666666667
2015,5,245.9,22.68,9.32,16,44.27,13.3545161290323
2015,6,126.48,25.88,13.53,19.7,55.62,12.354
2015,7,57.76,28.84,14.17,21.5,98.02,14.6674193548387
2015,8,227.6,27.86,15.56,21.71,90.23,12.2983870967742
2015,9,97.15,22.79,9.67,16.23,106.14,13.1206666666667
2015,10,69.47,16.99,4.12,10.55,110.31,12.8693548387097
2015,11,133.73,7.59,-2.9,2.35,75.77,10.4896666666667
2015,12,111.2,0.3,-11.86,-5.78,50.83,12.1567741935484
